,sentence,acronyms,type,expansions,expanded
48,We should prioritize DEI in their process of hiring and performance management to create a diverse and equitable workforce.,['DEI'],Multiple,"['Diversity, Equity, and Inclusion', 'Dividend Equity Income']",We should prioritize [DEI] in their process of hiring and performance management to create a diverse and equitable workforce.
49,The DEI framework should be reviewed regularly to make sure they are staying up-to-date with the latest tactics to foster inclusion.,['DEI'],Multiple,"['Diversity, Equity, and Inclusion', 'Dividend Equity Income']",The [DEI] framework should be reviewed regularly to make sure they are staying up-to-date with the latest tactics to foster inclusion.
50,The ATS system has been configured to track employee sign-in and sign-out times.,['ATS'],Multiple,"['Automated Trading System', 'Applicant Tracking System']",The [ATS] system has been configured to track employee sign-in and sign-out times.
52,Applicants must complete the ATS assessment as part of the hiring procedure.,['ATS'],Multiple,"['Automated Trading System', 'Applicant Tracking System']",Applicants must complete the [ATS] assessment as part of the hiring procedure.
53,Our ATS platform is designed to store employee records securely.,['ATS'],Multiple,"['Automated Trading System', 'Applicant Tracking System']",Our [ATS] platform is designed to store employee records securely.
54,We are using ATS technology to streamline the onboarding process.,['ATS'],Multiple,"['Automated Trading System', 'Applicant Tracking System']",We are using [ATS] technology to streamline the onboarding process.
55,All hire requisitions should be processed through our ATS system.,['ATS'],Multiple,"['Automated Trading System', 'Applicant Tracking System']",All hire requisitions should be processed through our [ATS] system.
113,Strategic Human Resources partners with a RPO to find and support great people who align with their values and culture.,['RPO'],Multiple,"['Request for Purchase Order', 'Recruitment Process Outsourcing']",Strategic Human Resources partners with a [RPO] to find and support great people who align with their values and culture.
115,"By leveraging RPO, the Human Resources department created an effective system of screening and assessing potential employees.",['RPO'],Multiple,"['Request for Purchase Order', 'Recruitment Process Outsourcing']","By leveraging [RPO], the Human Resources department created an effective system of screening and assessing potential employees."
138,"ER managers should strive to maintain an accurate, detailed history of employee relations.",['ER'],Multiple,"['Earnings Report', 'Employee Relations']","[ER] managers should strive to maintain an accurate, detailed history of employee relations."
